"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3594","Cart Item - Total Price Calculation for one item","chromium-auth","2026-08-23","passed","2026-08-23","Cart Tests > Data Integrity & Calculations","CartTest.spec.ts","",""
"","5572","Payment - HTML Validation - Empty fields","chromium-auth","2026-08-23","passed","2026-08-23","Payment Page - Validation Findings","PaymentTest.spec.ts","",""
"","87","4. Mocking API Error Response (JSON)","chromium-unauth","2026-08-23","passed","2026-08-23","API & Route Intercepting Tests","ApiMockingTest.spec.ts","",""
"","4913","Review Order - Cart Items Match","chromium-auth","2026-08-23","passed","2026-08-23","Review Order - Data Integrity","checkoutTest.spec.ts","",""
"","1251","API - Login positive and negative scenarios","chromium-unauth","2026-08-23","passed","2026-08-23","","LoginApiAdvanced.spec.ts","",""
"","6584","Order Confirmation - Success Message Displayed","chromium-auth","2026-08-23","passed","2026-08-23","Order Confirmation Tests","OrderConfirmation.spec.ts","",""
"","2470","should allow account creation regardless of password length 10","chromium-unauth","2026-08-23","passed","2026-08-23","Positive Tests","AccountInfoTest.spec.ts","",""
"","148","POST To Search Product","chromium-unauth","2026-08-23","passed","2026-08-23","products","ProductsApi.spec.ts","",""
"","7261","Cart Item - Total Price Calculation for more then item","chromium-auth","2026-08-23","passed","2026-08-23","Cart Tests > Data Integrity & Calculations","CartTest.spec.ts","",""
"","5872","Order Comment - Submit With Comment","chromium-auth","2026-08-23","passed","2026-08-23","Order Comment Tests","checkoutTest.spec.ts","",""
"","4579","Order Comment - Add Comment Text","chromium-auth","2026-08-23","passed","2026-08-23","Order Comment Tests","checkoutTest.spec.ts","",""
"","7353","Cart Item - Details Matching","chromium-auth","2026-08-23","passed","2026-08-23","Cart Tests > Data Integrity & Calculations","CartTest.spec.ts","",""
"","1884","should get the subcategory correct Kids Tops & Shirts","chromium-unauth","2026-08-23","passed","2026-08-23","Categories","ProductsUI.spec.ts","",""
"","85","Should handle network failure and show offline state","chromium-unauth","2026-08-23","passed","2026-08-23","API & Route Intercepting Tests","ApiMockingTest.spec.ts","",""
"","114","POST To Search Product without search_product parameter","chromium-unauth","2026-08-23","passed","2026-08-23","products","ProductsApi.spec.ts","",""
"","6592","Cart Item - Cart Overall Total Calculation","chromium-auth","2026-08-23","passed","2026-08-23","Cart Tests > Data Integrity & Calculations","CartTest.spec.ts","",""
"","6472","Payment - - Invalid name Format(number)","chromium-auth","2026-08-23","passed","2026-08-23","Payment Page - Validation Findings - Format Handling","PaymentTest.spec.ts","",""
"","1373","should get a HTML validation error if last name empty","chromium-unauth","2026-08-23","passed","2026-08-23","Negative Tests","AccountInfoTest.spec.ts","",""
"","654","PUT METHOD To Update User Account","chromium-unauth","2026-08-23","passed","2026-08-23","Delete","UserApiTest.spec.ts","",""
"","1362","Should match visual snapshot of Products Page","chromium-unauth","2026-08-23","failed","2026-08-23","","VisualTest.spec.ts","",""
"","911","Brands - Verify Brand Counts are Valid Numbers","chromium-unauth","2026-08-23","passed","2026-08-23","Brands Filter Tests","ProductsUI.spec.ts","",""
"","3822","Cart Persistence Across Refresh / Navigation","chromium-auth","2026-08-23","passed","2026-08-23","Cart Item Operations & Persistence","CartTest.spec.ts","",""
"","1364","should get category correct Women","chromium-unauth","2026-08-23","passed","2026-08-23","Categories","ProductsUI.spec.ts","",""
"","115","POST To Create/Register User Account","chromium-unauth","2026-08-23","passed","2026-08-23","register","UserApiTest.spec.ts","",""
"","1111","Product Details - Verify Essential Fields","chromium-unauth","2026-08-23","passed","2026-08-23","Detail Page Navigation","ProductsUI.spec.ts","",""
"","359","POST To Verify Login without email parameter","chromium-unauth","2026-08-23","passed","2026-08-23","login test","LoginApiTest.spec.ts","",""
